species,common_name,taxon_id,year,onset_doy,species_median_doy,anomaly_days,zscore
Erythronium oregonum,giant white fawn lily,59520,2019,106.0,103.2,2.8,0.646
Erythronium oregonum,giant white fawn lily,59520,2020,102.0,103.2,-1.2,-0.277
Erythronium oregonum,giant white fawn lily,59520,2021,108.0,103.2,4.8,1.108
Erythronium oregonum,giant white fawn lily,59520,2022,103.0,103.2,-0.2,-0.046
Erythronium oregonum,giant white fawn lily,59520,2023,111.0,103.2,7.8,1.8
Erythronium oregonum,giant white fawn lily,59520,2024,96.2,103.2,-7.0,-1.616
Erythronium oregonum,giant white fawn lily,59520,2025,101.0,103.2,-2.2,-0.508
Fritillaria affinis,checker lily,50618,2017,120.0,114.0,6.0,1.408
Fritillaria affinis,checker lily,50618,2018,115.0,114.0,1.0,0.235
Fritillaria affinis,checker lily,50618,2019,117.4,114.0,3.4,0.798
Fritillaria affinis,checker lily,50618,2020,114.0,114.0,0.0,0.0
Fritillaria affinis,checker lily,50618,2021,107.6,114.0,-6.4,-1.501
Fritillaria affinis,checker lily,50618,2022,114.0,114.0,0.0,0.0
Fritillaria affinis,checker lily,50618,2023,118.0,114.0,4.0,0.938
Fritillaria affinis,checker lily,50618,2024,107.8,114.0,-6.2,-1.455
Fritillaria affinis,checker lily,50618,2025,112.8,114.0,-1.2,-0.282
Lomatium utriculatum,Foothill desert-parsley,56827,2017,108.8,96.4,12.4,0.767
Lomatium utriculatum,Foothill desert-parsley,56827,2018,107.4,96.4,11.0,0.681
Lomatium utriculatum,Foothill desert-parsley,56827,2019,76.4,96.4,-20.0,-1.238
Lomatium utriculatum,Foothill desert-parsley,56827,2021,99.8,96.4,3.4,0.21
Lomatium utriculatum,Foothill desert-parsley,56827,2022,93.0,96.4,-3.4,-0.21
Lomatium utriculatum,Foothill desert-parsley,56827,2023,89.8,96.4,-6.6,-0.408
Lomatium utriculatum,Foothill desert-parsley,56827,2024,62.0,96.4,-34.4,-2.129
Lomatium utriculatum,Foothill desert-parsley,56827,2025,102.0,96.4,5.6,0.347
Lysichiton americanus,western skunk cabbage,48537,2017,86.8,83.6,3.2,0.835
Lysichiton americanus,western skunk cabbage,48537,2018,82.0,83.6,-1.6,-0.418
Lysichiton americanus,western skunk cabbage,48537,2019,87.0,83.6,3.4,0.888
Lysichiton americanus,western skunk cabbage,48537,2020,80.0,83.6,-3.6,-0.94
Lysichiton americanus,western skunk cabbage,48537,2021,82.0,83.6,-1.6,-0.418
Lysichiton americanus,western skunk cabbage,48537,2022,83.6,83.6,0.0,0.0
Lysichiton americanus,western skunk cabbage,48537,2023,89.0,83.6,5.4,1.41
Lysichiton americanus,western skunk cabbage,48537,2024,77.0,83.6,-6.6,-1.723
Lysichiton americanus,western skunk cabbage,48537,2025,85.8,83.6,2.2,0.574
Oemleria cerasiformis,Osoberry,53419,2017,83.0,64.6,18.4,1.159
Oemleria cerasiformis,Osoberry,53419,2018,65.6,64.6,1.0,0.063
Oemleria cerasiformis,Osoberry,53419,2019,54.8,64.6,-9.8,-0.618
Oemleria cerasiformis,Osoberry,53419,2020,34.8,64.6,-29.8,-1.878
Oemleria cerasiformis,Osoberry,53419,2021,64.6,64.6,0.0,0.0
Oemleria cerasiformis,Osoberry,53419,2022,54.6,64.6,-10.0,-0.63
Oemleria cerasiformis,Osoberry,53419,2023,85.0,64.6,20.4,1.285
Oemleria cerasiformis,Osoberry,53419,2024,56.0,64.6,-8.6,-0.542
Oemleria cerasiformis,Osoberry,53419,2025,75.0,64.6,10.4,0.655
Ribes sanguineum,Red-flowering Currant,53435,2017,104.0,88.0,16.0,2.008
Ribes sanguineum,Red-flowering Currant,53435,2018,84.0,88.0,-4.0,-0.502
Ribes sanguineum,Red-flowering Currant,53435,2019,90.6,88.0,2.6,0.326
Ribes sanguineum,Red-flowering Currant,53435,2020,90.0,88.0,2.0,0.251
Ribes sanguineum,Red-flowering Currant,53435,2021,88.0,88.0,0.0,0.0
Ribes sanguineum,Red-flowering Currant,53435,2022,79.0,88.0,-9.0,-1.13
Ribes sanguineum,Red-flowering Currant,53435,2023,95.0,88.0,7.0,0.879
Ribes sanguineum,Red-flowering Currant,53435,2024,78.4,88.0,-9.6,-1.205
Ribes sanguineum,Red-flowering Currant,53435,2025,86.0,88.0,-2.0,-0.251
Sambucus racemosa,red-berried elder,57824,2017,116.0,113.0,3.0,0.529
Sambucus racemosa,red-berried elder,57824,2018,115.8,113.0,2.8,0.494
Sambucus racemosa,red-berried elder,57824,2019,113.0,113.0,0.0,0.0
